,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,best_step
0,h,c,2,3,h,5,6,c,8,[8]
1,h,h,c,3,c,h,6,7,8,[6]
2,0,1,h,3,4,5,c,h,8,"[0, 1, 4]"
3,0,1,2,c,4,h,h,7,c,"[0, 1, 2, 4, 7]"
4,h,c,h,c,h,5,6,h,c,[6]
5,0,c,2,3,c,5,h,h,8,[8]
6,h,1,2,3,4,c,h,c,8,[3]
7,0,c,2,3,h,5,h,c,8,[2]
8,0,c,c,h,4,c,h,h,8,"[0, 8]"
9,0,1,c,3,c,h,6,7,h,[6]
10,0,1,2,3,c,5,h,h,8,[8]
11,h,h,c,3,4,c,c,7,h,[4]
12,c,1,h,h,h,c,6,h,c,"[1, 6]"
13,h,1,h,c,c,h,h,c,c,[1]
14,c,1,2,3,4,5,6,h,h,[6]
15,c,h,h,c,4,h,h,7,c,[4]
16,h,h,c,c,4,h,6,h,c,[4]
17,c,c,h,h,4,c,6,h,8,"[4, 6, 8]"
18,0,c,h,3,4,h,h,c,8,[4]
19,0,c,h,h,4,5,6,7,8,[4]
20,h,c,2,c,4,5,h,7,8,[4]
21,c,c,h,3,4,h,6,h,8,[8]
22,0,1,c,3,4,h,h,7,8,"[0, 3, 4]"
23,h,h,2,c,4,c,h,7,c,"[2, 4]"
24,0,h,c,3,h,h,6,c,8,[3]
25,c,c,h,c,4,h,h,7,8,"[4, 7, 8]"
26,0,1,2,c,h,5,h,c,h,"[0, 1, 2, 5]"
27,0,h,c,3,h,c,6,7,8,[8]
28,0,1,2,3,4,5,h,7,8,[4]
29,c,h,2,3,c,5,h,7,8,[8]
30,c,c,h,h,c,h,c,h,8,[8]
31,0,1,2,c,h,h,h,c,c,[2]
32,0,c,h,3,h,5,6,c,8,[6]
33,0,h,2,h,c,c,h,h,c,"[0, 2]"
34,0,c,2,c,h,h,6,7,h,"[0, 2, 6, 7]"
35,c,h,h,3,4,5,6,c,h,[5]
36,0,c,2,h,h,5,6,c,8,[5]
37,h,1,2,3,4,c,c,7,h,[4]
38,h,c,c,c,h,h,c,h,8,[8]
39,0,h,2,3,4,c,c,h,h,[4]
40,h,c,h,3,4,5,6,7,8,[4]
41,0,1,2,c,h,5,c,h,h,[0]
42,0,h,h,c,c,5,6,h,8,[5]
43,c,h,h,3,c,5,6,7,8,[8]
44,0,1,2,h,4,c,h,c,8,[0]
45,h,1,c,3,h,h,6,c,8,"[1, 3, 6, 8]"
46,h,1,c,3,h,5,c,h,8,"[1, 3, 5, 8]"
47,h,h,c,3,4,5,h,7,c,[5]
48,0,1,2,c,h,5,6,7,8,"[0, 1, 2, 6, 7, 8]"
49,0,h,c,h,c,c,h,c,h,[0]
50,h,c,2,3,4,h,6,7,8,[4]
51,h,c,c,c,4,h,h,h,c,[4]
52,h,h,2,h,4,c,c,h,c,[2]
53,c,c,h,h,4,5,c,7,h,[5]
54,c,1,h,h,c,c,h,c,h,[1]
55,h,c,c,h,4,h,c,c,h,[4]
56,0,h,2,h,h,c,c,7,8,[7]
57,0,1,2,h,c,5,6,7,h,"[0, 1, 6, 7]"
58,0,1,2,3,h,5,c,7,8,"[0, 1, 2, 3, 5, 7, 8]"
59,0,c,h,c,4,c,h,h,8,[4]
60,0,1,2,3,4,c,6,h,h,[6]
